Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Ruby Lake Glass; LLC,493 State Rte 28,,Richfield Springs,NY,13439,Herkimer,6,3158580055,Cynthia Andela,Private,RHRF - 5 tpd or less - registration,[22R10008],Yes,499828,4747244,,Glass,,22R10008,02/04/2020,02/03/2025,"493 State Rte 28
Richfield Springs, NY 13439
(42.88253, -75.002748)"
New York Recycling Ventures,1340 East Bay Avenue,,Bronx,NY,101474,Bronx,2,7185422300,,,RHRF - exempt (non-VDF),[03M00],Yes,594267,4518059,,,,,,,"1340 East Bay Avenue
Bronx, NY 101474
(40.80909, -73.882649)"
Shanks Enterprises; Inc,Evergreen St,,Lima,NY,14485,Livingston,8,5856242126,Deborah and David Shanks,Private,RHRF - greater than 5 tpd - registration,[26T10003],Yes,287658,4753203,1 - No accuracy stated,Single Stream;Paperboard/Boxboard,,26T10003,11/18/2019,11/18/2024,
Colonie (T) SWMF,1319 New Loudon road,,Colonie,NY,12047,Albany,4,5187832827,Town of Colonie,Municipal,RHRF - permit,[01M26],Yes,603609,4740925,,,Permit,4-0126-00033/00001,04/05/2018,04/04/2028,"1319 New Loudon road
Colonie, NY 12047
(42.809404, -73.732954)"
EWG Glass Recovery & Recycle Corp (180th Street),107-28 180th Street,,Jamaica,NY,11433,Queens,2,7187397270,Edward Golebiewski III,Private,RHRF - registration,[41MB0],Yes,603337,4506470,,Source Separated Recyclables (Metal/Glass/Paper/Plastic),Registration,41MB0,,,"107-28 180th Street
Jamaica, NY 11433
(40.702577, -73.776996)"
Warrensburg Transfer Station,4067 Dump Rd,,Warrensburg,NY,12885,Warren,5,5186233096,Town of Warrensburg,Municipal,RHRF - registration,[57R07],Yes,597799,4817645,,,Registration,57R07,,,
Safeguard Waste Solutions; Inc.,6 Brown Road,,Colonie,NY,12205,Albany,4,,Frank Marotta,Private,RMW - permit,[01JP2601],Yes,596,4728,4.1 - Address Matching,,Permit,4-0126-00790/00001,11/15/2018,11/14/2028,"6 Brown Road
Colonie, NY 12205
(42.700283, -73.825451)"
Eastern Metal Recycling Inc,2170 River Road,,Selkirk,NY,12045,Albany,4,5182731142,Eastern Metal Recycling Inc,Private,Scrap metal processor - registration,[01V39101],Yes,599387,4704292,,Steel,Registration,01V39101,04/01/2019,04/01/2024,
Greenwich Recycling/Transfer Station,Fidlers Elbow Road,,Greenwich,NY,12834,Washington,5,5186927505,Elnicki Aggregate Inc,Private,Transfer facility - permit,[58TP0010],Yes,620066,4775212,,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);MSW (Residential/Institutional & Commercial);Food Scraps;Wood (Brush/ Branches/ Trees/ Stumps);Non-recyclable Scrap Plastic,Permit,5-5334-00037/00003,07/09/2018,07/08/2023,
Macomb Transfer Station,6663 State Highway 58,,Macomb,NY,13646,St. Lawrence,6,3155782212,Town of Macomb,Municipal,Transfer facility - registration,[45T10013],Yes,452621,4917538,4.1 - Address Matching,MSW (Residential/Institutional & Commercial),Registration,45T10013,11/18/2019,11/17/2024,
Richford TS  (T),10 Town Barn Road,,Richford,NY,13835,Tioga,7,,Town of Richford,Municipal,Transfer facility - registration,[54T10009],Yes,401313,4690028,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Bulk Metal,Registration,54T10009,02/21/2019,02/21/2024,
Town of Java Transfer Station,3879 Route 98,,Java Center,NY,14082,Wyoming,9,5854973092,Town of Java,Municipal,Transfer facility - registration,[61T10007],Yes,225872,4727549,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Waste Tires,Registration,61T10007,04/11/2019,12/04/2023,
Varick Transfer Station (Romulus),4782 Route 96,,Romulus,NY,14541,Seneca,8,3155852296,Town of Varick,Municipal,Transfer facility - registration,[50T10004],Yes,349204,4739504,,MSW (Residential/Institutional & Commercial),Registration,50T10004,09/23/2019,09/23/2024,"4782 Route 96
Romulus, NY 14541
(42.79314, -76.843654)"
Orange County Transfer Station #2 (Newburgh),NYS Rt 17K,9 Orr Road,Newburgh,NY,12550,Orange,3,8453741901,Orange County,County,Transfer station - permit,[36T01],Yes,577332,4594911,,,Permit,3-3346-00069/00005,11/27/2018,11/26/2023,
Stuart W Bates Inc,36 Starr Ridge Road,,Brewster,NY,10509,Putnam,3,8452798952,Mary Ann Bates,Private,Transfer station - permit,[40T04],Yes,617724,4582945,,Septage;Sewage Treatment Plant Sludge,None,3-3730-00150/00004,08/06/2014,08/05/2019,"36 Starr Ridge Road
Brewster, NY 10509
(41.38915, -73.593918)"
Taylor Soild Waste Facility,5730 State Route 434,,Apalachin,NY,13732,Tioga,7,6072580339,Robert Taylor,Private,Transfer station - permit,[54T03],Yes,403589,4659715,4 - GIS Assisted,MSW (Residential/Institutional & Commercial),Permit,7-4930-00252/00001,12/13/2017,03/18/2024,"5730 State Route 434
Apalachin, NY 13732
(42.085169, -76.165136)"
Waste Management of NY (Poestenkill),Routes 351 & 66,,Poestenkill,NY,12140,Rensselaer,4,8455333305,Waste Management of New York; LLC,Private,Transfer station - permit,[42T100],Yes,616558,4724474,,Construction & Demolition Debris,Permit,4-3838-00023/00002,10/10/2007,05/10/2027,
Rochester            (T),100 Airport Road,,Accord,NY,12404,Ulster,3,8456265273,Town of Rochester,Municipal,Transfer station - registration,[56R08],Yes,565385,4628915,,,Registration,56R08,,,"100 Airport Road
Accord, NY 12404
(41.80865, -74.213557)"
Calvetta Auto Sales,5650 Cauterskill Road,,Catskill,NY,12414,Greene,4,5189435443,Joe Calcavecchia,Private,VDF - large - registration,[20V52603],Yes,590389,4677243,,End of Life Vehicles,Registration,20V52603,06/20/2019,06/20/2024,"5650 Cauterskill Road
Catskill, NY 12414
(42.240824, -73.903198)"
PJ's Auto Parts Inc,2700 West Main Street,,Caledonia,NY,14423,Livingston,8,5855382391,William Jones,Private,VDF - large - registration,[26V50006],Yes,264613,4762430,,,Registration,26V50006,06/19/2018,06/18/2023,
Seven-X Motors Inc,954 St. Route 17B,,Bethel,NY,12762,Sullivan,3,8455835110,Ercole Alleva,Private,VDF - large - registration,[53V50003],Yes,517320,4613403,,End of Life Vehicles,Registration,53V50003,03/05/2019,03/04/2024,
Eckes Auto Body,787 Route 42,,Sparrowbush,NY,12780,Orange,3,8458562302,Wilbur Eckes,Private,Vehicle Dismantling Facility,[36J31],Yes,523599,4586699,,,,,,,"787 Route 42
Sparrowbush, NY 12780
(41.431063, -74.717505)"
J and E Enterprises LLC,15155 NYS. Rte. 193,,Pierrepont Manor,NY,13674,Jefferson,6,3154653323,Jewel Gilbert,Private,Vehicle Dismantling Facility,[7108332],Yes,413466,4843311,,,,,,,
Mack's Body Shop Inc,37 Forgham Street,,Lyons,NY,14489,Wayne,8,3159464691,Gary Shumway,Private,Vehicle Dismantling Facility,[5590029],Yes,337352,4769458,,,,,,,"37 Forgham Street
Lyons, NY 14489
(43.060296, -76.996092)"
Kirkland Transfer Station,3699 State Rte 12B,,Kirkland (T),NY,13323,Oneida,6,3158535082,Town of Kirkland,Municipal,Transfer station - registration,[33R09],Yes,468064,4765162,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Tires;Yard Waste,Registration,33R09,11/20/2000,,"3699 State Rte 12B
Kirkland (T), NY 13323
(43.038634, -75.391463)"
Sky Materials Corp.,4331 Middle Country Road,,Calverton,NY,11933,Suffolk,1,6312082999,Calverton Industries,Private,Composting - yard waste  - registration,[52W80R],Yes,687412,4532821,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,Registration,52W80R,05/09/2011,,"4331 Middle Country Road
Calverton, NY 11933
(40.928211, -72.774169)"
Snyder Farm,8463 East Loop Road,,Port Byron,NY,13140,Cayuga,7,3157765356,Richard L Snyder,,Land application - UFPW - registration,[06A30026],Yes,363390,4765270,4.2 - Utilization of GIS and existing spatial data,Non-recognizable Food Processing Waste,Registration,06A30026,11/28/2018,05/03/2023,"8463 East Loop Road
Port Byron, NY 13140
(43.028173, -76.689079)"
Waste Sorting Corp,2065 Pond Road,,Ronkonkoma,NY,11779,Suffolk,1,6319811332,Kenneth Goetz,Private,C&D processing - permit,[52W66],Yes,658846,4517530,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Concrete;Paper / Cardboard;Wood (Unadulterated),None,1-4728-00760/00002,02/23/2015,02/22/2020,"2065 Pond Road
Ronkonkoma, NY 11779
(40.793383, -73.117694)"
York TS,2825 River Road,,York,NY,14592,Livingston,8,5852433128,Town of York,Municipal,RHRF - 5 tpd or less - registration,[26R10010],Yes,266662,4749660,4.2 - Utilization of GIS and existing spatial data,Plastic;Clear Glass;Paperboard/Boxboard,Registration,26R10010,01/03/2020,01/03/2025,"2825 River Road
York, NY 14592
(42.864006, -77.856746)"
Geneva Trenches,41 Doran Avenue,,Geneva,NY,14456,Ontario,8,2108338666,City of Geneva,Municipal,SSO processing - other - registration,[35P80004],Yes,338820,4749433,4 - GIS Assisted,Source Separated Organic Waste (SSOW);Leaves,Registration,35P80004,09/20/2018,09/19/2023,"41 Doran Avenue
Geneva, NY 14456
(42.880878, -76.972422)"
Delaware County SWMF,32230 NYS Route 10,,Walton,NY,13856,Delaware,4,6077462128,Delaware County,County,Landfill - MSW - permit,[13S18],Yes,495542,4667569,1.1 - Obtained from original submission and unverified process,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Friable);Sewage Treatment Plant Sludge;Wood (Brush/ Branches/ Trees/ Stumps);Petroleum Contaminated Soil;Commingled Paper & Containers,Permit,4-1256-00008/00007,07/19/2019,06/04/2024,
DPR Scrap Metal,125 Hopper Street,,Westbury,NY,11590,Nassau,1,5162809353,Jeffery Sissons,Private,Scrap metal processor - registration,[30V50136],Yes,1,1,,End of Life Vehicles,Registration,30V31026,12/28/2021,12/28/2026,"125 Hopper Street
Westbury, NY 11590
(40.757795, -73.566057)"
Minerva Transfer Station,437 O'Neil Road,,Minerva,NY,12851,Essex,5,5182512869,Essex County,Municipal,RHRF - registration,[16R37],Yes,584831,4850223,,,Registration,16R37,,,"437 O'Neil Road
Minerva, NY 12851
(43.799678, -73.945409)"
Northside Salvage Yard; Inc - Warehouse,860 Linden Ave,,East Rochester,NY,14445,Monroe,8,5853819667,John Sebastian,Private,VDF - large - registration,[28V50002],Yes,296852,4777082,,,Registration,28V50002,05/14/2018,05/13/2023,
Tom McGinnis Excavating,78 1/2 Lake Street,,LeRoy,NY,14482,Genesee,8,5857686769,Thomas McGinnis,Private,Land application - septage - registration,[19L08],Yes,257174,4765843,,Septage,Registration,,,,"78 1/2 Lake Street
LeRoy, NY 14482
(42.983154, -77.992253)"
Northampton Transfer Station,326 County Route 113,,Northampton,NY,12134,Fulton,5,5187365501,Fulton County,Municipal,Transfer facility - registration,[18T10005],Yes,569780,4784850,,MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous);Electronics,Registration,18T10005,07/02/2018,07/01/2023,"326 County Route 113
Northampton, NY 12134
(43.212551, -74.140959)"
Monroe County RRF Transfer Station,1845 Emerson Street,,Rochester,NY,14606,Monroe,8,5855278110,Cascades Canada Inc,Private,Transfer facility - permit,[28T02],Yes,282148,4783572,1 - No accuracy stated,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Waste Tires;Leaves & Grass;Yard Waste;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Wood (Brush/ Branches/ Trees/ Stumps),Permit,8-2614-00318/00008-0,06/24/2016,06/23/2026,"1845 Emerson Street
Rochester, NY 14606
(43.173919, -77.680147)"
Watch Hill Holding Corp/Royal Carting Service,409 Rt. 82; PO Box 1209,,Hopewell Junction,NY,12533,Dutchess,3,8458966000,Emil Panichi,,Transfer station - permit,[14T03],Yes,596306,4602468,,Construction & Demolition Debris;Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Sludge (Industrial);Asbestos (Non-Friable);Metals (Ferrous & Non-Ferrous);Concrete;Waste Tires;Compost;Waste Oil (Other);Electronics,Permit,3-1328-00129/00002,09/16/2020,09/15/2025,"409 Rt. 82; PO Box 1209
Hopewell Junction, NY 12533
(41.566822, -73.845079)"
Tomra NY Recycling - East Syracuse,6500 New Venture Gear Drive,,East Syracuse,NY,13057,Onondaga,7,3154637142,Tomra NY Recycling LLC,Private,RHRF - greater than 5 tpd - registration,[34R20068],Yes,412825,4771214,4.1 - Address Matching,PET;Commingled Containers;Paperboard/Boxboard,Registration,34R20068,11/25/2019,05/10/2023,"6500 New Venture Gear Drive
East Syracuse, NY 13057
(43.090696, -76.072715)"
Long Island Compost Farm #07,Wading River Road (East side at LIE North Svce Rd),SCTM 200-461-2-4,Manorville,NY,11949,Suffolk,1,,Long Island Compost Corp.,Private,Composting - yard waste  - registration,[52Y34R],Yes,683516,4526091,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,Registration,42Y34R,05/24/2005,,
Bornt Waste & Metal Inc,170 Elmwood Ave Ext,,Gloversvile,NY,12078,Fulton,5,,James Bornt; Sr,Private,Vehicle Dismantling Facility,[7119666],Yes,555370,4767813,4.1 - Address Matching,,Unauthorized,,,,"170 Elmwood Ave Ext
Gloversvile, NY 12078
(43.061021, -74.320529)"
Auburn Landfill No 2,311 N. Division St.,,Auburn,NY,13021,Cayuga,7,3152526441,City of Auburn,Municipal,Landfill - MSW - permit,[06LS0002],Yes,369852,4756819,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Ash (WWTP Sludge);Asbestos (Non-Friable);Petroleum Contaminated Soil;Construction & Demolition Debris,Permit,7-0501-00042/00003,11/07/2019,11/06/2029,"311 N. Division St.
Auburn, NY 13021
(42.951885, -76.586778)"
All Container Recovery Inc,21 Pine Aire Dr,,Bayshore,NY,11706,Suffolk,1,6314845638,Joseph Jacinto,Private,RHRF - registration,[52M73R],Yes,646673,4515351,1 - No accuracy stated,Commingled Containers;Metals (Non-Ferrous);Plastics,Registration,52M73R,,,"21 Pine Aire Dr
Bayshore, NY 11706
(40.775892, -73.262218)"
Riccelli-Northern; LLC-Fulton Plant,32 Silk Road,,Volney,NY,13069,Oswego,7,3154335115,Riccelli Northern LLC,Private,CDDHRF - asphalt pavement and millings - registration,[38C20038],Yes,388762,4799976,1 - No accuracy stated,Asphalt Millings;Asphalt Pavement,Registration,38C20038,02/26/2020,02/25/2025,"32 Silk Road
Volney, NY 13069
(43.338357, -76.380836)"
Luzon Environmental Services,P.O. Box 1070,1246 Glen Wild Road,Woodridge,NY,12789,Sullivan,3,8454347805,Robert Halprin,Private,Waste oil storage; reprocessing or rerefining facility,[53O01],Yes,536057,4617026,,Waste Oil (Other),Permit,3-4828-00058/00005,,12/18/2019,
Empire Recycling Corp,1101 West Clark Street,Bldg. 38,Endicott,NY,13760,Broome,7,6077291518,Empire Recycling,Private,RHRF - greater than 5 tpd - registration,[04R20019],Yes,420884,4662787,4.1 - Address Matching,Paper/Cardboard;Wood (Pallets & Crates);Plastics;Commingled Paper;Commingled Containers;Newspaper;Office Paper;Paperboard/Boxboard;Metals (Ferrous);Metals (Non-Ferrous),Registration,04R20019,10/18/2018,05/03/2023,"1101 West Clark Street
Endicott, NY 13760
(42.107165, -76.048336)"
Dolomite Products Co Inc. - Gates Quarry Recycle Plant,1085 Buffalo Road,,Rochester,NY,14624,Monroe,8,5852359292,Dolomite Products Co,Private,C&D processing - registration,[28W01],Yes,282229,4780966,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete,Registration,28W01,12/23/1993,,"1085 Buffalo Road
Rochester, NY 14624
(43.149966, -77.679796)"
Greenburgh Temporary Leaf TS (T),Olympic Lane,177 Hillside Avenue,Greenburgh,NY,10607,Westchester,3,9149891580,Town of Greenburgh,Municipal,Transfer facility - registration,[60T10008],Yes,598750,4541655,,Yard Waste,Registration,60T10008,01/15/2019,01/14/2024,
Broadalbin Transfer Station,221 Union Mills Road,,Broadalbin,NY,12025,Fulton,5,5187365501,Fulton County,County,RHRF - 5 tpd or less - registration,[18R10001],Yes,566968,4768895,,Single Stream;Electronics;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal,Registration,18R10001,07/02/2018,07/01/2023,"221 Union Mills Road
Broadalbin, NY 12025
(43.069364, -74.17712)"
Lockheed Martin Advance Gasification Proj.,1081 Route 17C,,Owego,NY,13827,Tioga,7,6077512303,Lockheed Martin Corporation,,Research Development & Demonstration - registration,[54Z10001],Yes,399372,4662041,1 - No accuracy stated,Plastics,RD&D,54Z10001,06/13/2018,06/12/2020,"1081 Route 17C
Owego, NY 13827
(42.097809, -76.233808)"
Borden Bridge Auto Wrecking,1440 Cornwell Road,,Addison,NY,14801,Steuben,8,6073592747,Frank Jakob,Private,VDF - large - registration,[51V50007],Yes,309766,4660244,1 - No accuracy stated,Scrap Metal - Aluminum,,51V50007,02/26/2019,02/25/2024,"1440 Cornwell Road
Addison, NY 14801
(42.070823, -77.299734)"
C. L. McCormack,5885 Jordan Rd.,5739 Fikes Rd.,Elbridge,NY,13060,Onondaga,7,3156893973,Melanie & Meghan McCormack,Private,Land application - septage - registration,[34A40010],Yes,386132,4765162,1.1 - Obtained from original submission and unverified process,Septage,Registration,34A40010,07/03/2019,07/03/2024,"5885 Jordan Rd.
Elbridge, NY 13060
(43.055319, -76.460808)"
Ed Henning Inc.,911 Ransom Road,,Lancaster,NY,14086,Erie,9,7166835174,Alfreda Haniszewski,Private,VDF - large - registration,[15V50007],Yes,206880,4758268,1 - No accuracy stated,End of Life Vehicles,Registration,15V50007,11/19/2018,11/19/2023,"911 Ransom Road
Lancaster, NY 14086
(42.920511, -78.592931)"
Blacktop Maintenance Corp,27 Commerce Street,,Poughkeepsie,NY,12603,Dutchess,3,8454718700,Blacktop Maintenance Corp,Private,C&D processing - registration,[14W03],Yes,595261,4615369,,Concrete;Asphalt;Brick;Rock,Registration,14W03,,,"27 Commerce Street
Poughkeepsie, NY 12603
(41.684652, -73.854913)"
Dutcher's Inc,4495 Cramer Road,,Morrisville,NY,13408,Madison,7,3156849212,James Dutcher,Private,VDF - large - registration,[27V50005],Yes,448366,4752842,,,Registration,27V50005,05/16/2018,05/15/2023,"4495 Cramer Road
Morrisville, NY 13408
(42.92595, -75.632722)"
WMNY LLC Harlem River Yard,98 Lincoln Avenue,,Bronx,NY,10454,Bronx,2,,Waste Management of NY; LLC,Private,Transfer station - permit,[03T79],Yes,590254,4517776,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Permit,2-6007-00159/00009,07/29/2014,07/30/2019,"98 Lincoln Avenue
Bronx, NY 10454
(40.807642, -73.929614)"
DSNY North Shore Household Special Waste Drop-Off Facility,120-15 31st Avenue,,College Point,NY,11354,Queens,2,2124374668,NYC Dept of Sanitation,Municipal,Transfer station - registration,[41RC0],Yes,597262,4513987,1 - No accuracy stated,Waste Oil (Other);Waste Tires,Registration,41RC0,02/21/2017,,"120-15 31st Avenue
College Point, NY 11354
(40.769939, -73.847986)"
Shanks Enterprises Inc Transfer Station,7639 Evergreen Street,,Lima,NY,14485,Livingston,8,5856242126,Shanks Enterprises Inc,Private,RHRF - permit,[26RP0019],Yes,287462,4753088,,Single Stream;Container Glass;Commingled Containers;Paperboard/Boxboard,,,,,"7639 Evergreen Street
Lima, NY 14485
(42.903157, -77.605067)"
Newberry Transfer Station,Swan Hollow Road,,Alexandria Bay,NY,13607,Jefferson,6,3154829472,Royce Newberry,Private,Transfer station - permit,[23T19],Yes,428607,4909366,,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous),Permit,6-2222-00291/00003,12/30/2019,12/29/2021,
Phelps Auto Repair & Scrap Yard,2439 State Highway 58,,Edwards,NY,13635,St. Lawrence,6,3155623615,James Phelps,Private,Scrap metal processor - registration,[45V30024],Yes,476222,4904792,4.1 - Address Matching,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;End of Life Vehicles,Registration,45V30024,11/19/2019,11/18/2024,"2439 State Highway 58
Edwards, NY 13635
(44.29626, -75.299201)"
Slate Valley Automotive LLC,7311 State Route 22,,Granville,NY,12832,Washington,5,5186423167,William Bishop,Private,WTHRF - collection and storage - registration,[58W10001],Yes,640240,4796886,,Whole Tires - passenger;Whole Tires - truck,Registration,58W10001,08/15/2018,08/14/2023,"7311 State Route 22
Granville, NY 12832
(43.310335, -73.270737)"
Brisben Transfer Station,177 Coutermarsh Road,,Oxford,NY,13830,Chenango,7,6076567718,Chenango County,County,Transfer facility - registration,[09T10008],Yes,442555,4689142,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Emergency Authorization Waste (Storm Debris),Registration,09T10018,06/18/2020,02/20/2024,
County Waste Transfer Corp. - Troy TS,799 Burden Ave,,Troy,NY,12180,Rensselaer,4,5182668990,County Waste Transfer Corp,Private,Transfer station - permit,[42T01],Yes,606743,4728753,,,Permit,4-3817-00111/00004,03/28/2018,03/27/2023,"799 Burden Ave
Troy, NY 12180
(42.703828, -73.696448)"
Alex Auto Parts Inc,327 Bryant Ave,,Bronx,NY,10474,Bronx,2,7188422500,Alex Auto Parts; Inc.,Private,VDF - large - registration,[03V50011],Yes,594139,4518013,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,Registration,03V50011,01/17/2020,01/16/2025,"327 Bryant Ave
Bronx, NY 10474
(40.807706, -73.883753)"
Riverhead CB LLC,1521 Roanoke Ave,,Riverhead,NY,11901,Suffolk,1,6317270170,Riverhead CB LLC,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[52C60251],Yes,695061,4534740,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Sand;Gravel;Rock,Registration,52-0251,09/17/2019,09/16/2024,"1521 Roanoke Ave
Riverhead, NY 11901
(40.940388, -72.680837)"
Alpha Recycling Inc.,1641 East 233rd Street,,Bronx,NY,10461,Bronx,2,7189942300,Alpha Recycling; Inc.,Private,Scrap metal processor - registration,[03V30001],Yes,598980,4526992,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Lead-acid Batteries,Registration,03V30001,10/01/2019,09/30/2024,"1641 East 233rd Street
Bronx, NY 10461
(40.887898, -73.825152)"
Scott Smith's 24 Hour Towing Svc.,103 Railroad Street,,Malone,NY,12953,Franklin,5,5184830776,Scott Smith,Private,Motor vehicle repair shop - small - registration,[17V10006],Yes,555253,4966834,,End of Life Vehicles,,17V10006,07/29/2019,07/29/2024,"103 Railroad Street
Malone, NY 12953
(44.852549, -74.300536)"
Hard Rock C&D,Martin & McKinstry Roads,,Machias,NY,14101,Cattaraugus,9,,Eldon King Jr,,CDDHRF - asphalt pavement and millings - registration,[05C20021],Yes,210529,4704522,4 - GIS Assisted,Asphalt Millings,Registration,05C20021,09/11/2019,09/10/2024,"Martin & McKinstry Roads
Machias, NY 14101
(42.442636, -78.51018)"
