,Facility ID,Facility Name,f_lng,f_lat,Facility Type,Material,Year,Service Area Address,Service Area Coordinates,Tonnage,Direction,Destiny,Facility Region,SA_lat,SA_lng
33,[52W129R],Bistrian Materials Inc (Montauk),-71.9568115,41.04330501,Transfer Facility,Concrete,2019,"86 Industrial Rd, Montauk, NY 11954, USA","[41.041796, -71.9605144]",727.5,Outgoing,Recycled,1,41.041796,-71.9605144
34,[52W129R],Bistrian Materials Inc (Montauk),-71.9568115,41.04330501,Transfer Facility,Soil,2019,"86 Industrial Rd, Montauk, NY 11954, USA","[41.041796, -71.9605144]",1719,Outgoing,Recycled,1,41.041796,-71.9605144
35,[52W129R],Bistrian Materials Inc (Montauk),-71.9568115,41.04330501,Transfer Facility,Yard Waste,2019,"86 Industrial Rd, Montauk, NY 11954, USA","[41.041796, -71.9605144]",592.3,Outgoing,Recycled,1,41.041796,-71.9605144
36,[52W155R],Bodkin Excavating Inc,-72.93851135,40.7746861,Transfer Facility,Concrete,2019,"Suffolk County, NY, USA","[40.9848784, -72.61511689999999]",208,Incoming,Not Applicable,1,40.9848784,-72.6151169
37,[52W155R],Bodkin Excavating Inc,-72.93851135,40.7746861,Transfer Facility,Asphalt and Road Material,2019,"Suffolk County, NY, USA","[40.9848784, -72.61511689999999]",42,Incoming,Not Applicable,1,40.9848784,-72.6151169
38,[52W155R],Bodkin Excavating Inc,-72.93851135,40.7746861,Transfer Facility,Concrete,2019,"Lake Grove, NY, USA","[40.8528761, -73.1151102]",194,Outgoing,Recycled,1,40.8528761,-73.1151102
39,[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,General C&D Debris,2019,"Brookhaven, NY, USA","[40.8273786, -72.995048]",9362.77,Incoming,Not Applicable,1,40.8273786,-72.995048
40,[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,Concrete,2019,"350 Horseblock Road, Brookhaven, NY 11719, USA","[40.80071119999999, -72.92322039999999]",12508.18,Outgoing,Recycled,1,40.8007112,-72.9232204
41,[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,Metals,2019,"71 Peconic Ave, Medford, NY 11763, USA","[40.8177235, -72.97486529999999]",6,Outgoing,Disposed,1,40.8177235,-72.9748653
42,[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,General C&D Debris,2019,"350 Horseblock Road, Brookhaven, NY 11719, USA","[40.80071119999999, -72.92322039999999]",9312.77,Outgoing,Disposed,1,40.8007112,-72.9232204
43,[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,Metals,2019,"71 Peconic Ave, Medford, NY 11763, USA","[40.8177235, -72.97486529999999]",50,Outgoing,Recycled,1,40.8177235,-72.9748653
44,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2020,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",4201,Incoming,Not Applicable,1,40.8598637,-72.5678012
45,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2020,"East Hampton, NY, USA","[41.083151, -71.9994067]",4201,Incoming,Not Applicable,1,41.083151,-71.9994067
46,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2020,"Riverhead, NY 11901, USA","[40.9170435, -72.66204019999999]",4201,Incoming,Not Applicable,1,40.9170435,-72.6620402
47,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Asphalt and Road Material,2020,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",859,Incoming,Not Applicable,1,40.8598637,-72.5678012
48,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",2438,Incoming,Not Applicable,1,40.8598637,-72.5678012
49,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"East Hampton, NY, USA","[41.083151, -71.9994067]",2438,Incoming,Not Applicable,1,41.083151,-71.9994067
50,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"Riverhead, NY 11901, USA","[40.9170435, -72.66204019999999]",2438,Incoming,Not Applicable,1,40.9170435,-72.6620402
51,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",6890,Incoming,Not Applicable,1,40.8598637,-72.5678012
52,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"East Hampton, NY, USA","[41.083151, -71.9994067]",6890,Incoming,Not Applicable,1,41.083151,-71.9994067
53,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"Riverhead, NY 11901, USA","[40.9170435, -72.66204019999999]",6890,Incoming,Not Applicable,1,40.9170435,-72.6620402
54,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2020,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",7603,Incoming,Not Applicable,1,40.8598637,-72.5678012
55,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2020,"Riverhead, NY 11901, USA","[40.9170435, -72.66204019999999]",7603,Incoming,Not Applicable,1,40.9170435,-72.6620402
56,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2020,"Brookhaven, NY, USA","[40.8273786, -72.995048]",7603,Incoming,Not Applicable,1,40.8273786,-72.995048
57,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2020,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",2561,Incoming,Not Applicable,1,40.8598637,-72.5678012
58,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2020,"East Hampton, NY, USA","[41.083151, -71.9994067]",2561,Incoming,Not Applicable,1,41.083151,-71.9994067
59,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2020,"Riverhead, NY 11901, USA","[40.9170435, -72.66204019999999]",2561,Incoming,Not Applicable,1,40.9170435,-72.6620402
60,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",2400,Incoming,Not Applicable,1,40.8598637,-72.5678012
61,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2019,"Riverhead, NY 11901, USA","[40.9170435, -72.66204019999999]",2400,Incoming,Not Applicable,1,40.9170435,-72.6620402
62,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Masonry,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",540,Incoming,Not Applicable,1,40.8598637,-72.5678012
63,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Masonry,2019,"Riverhead, NY 11901, USA","[40.9170435, -72.66204019999999]",540,Incoming,Not Applicable,1,40.9170435,-72.6620402
64,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Masonry,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",60,Incoming,Not Applicable,1,40.8598637,-72.5678012
65,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Asphalt and Road Material,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",720,Incoming,Not Applicable,1,40.8598637,-72.5678012
66,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",1200,Incoming,Not Applicable,1,40.8598637,-72.5678012
67,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",1200,Incoming,Not Applicable,1,40.8598637,-72.5678012
68,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",12000,Incoming,Not Applicable,1,40.8598637,-72.5678012
69,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",600,Incoming,Not Applicable,1,40.8598637,-72.5678012
70,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",4435,Outgoing,Recycled,1,36.1270711,-79.860718
71,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",4435,Outgoing,Recycled,1,36.1270711,-79.860718
72,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",4435,Outgoing,Recycled,1,36.1270711,-79.860718
73,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",7570,Outgoing,Recycled,1,36.1270711,-79.860718
74,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",7570,Outgoing,Recycled,1,36.1270711,-79.860718
75,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",7570,Outgoing,Recycled,1,36.1270711,-79.860718
76,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",10490,Outgoing,Recycled,1,36.1270711,-79.860718
77,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",10490,Outgoing,Recycled,1,36.1270711,-79.860718
78,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",4430,Outgoing,Recycled,1,36.1270711,-79.860718
79,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",4430,Outgoing,Recycled,1,36.1270711,-79.860718
80,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",4430,Outgoing,Recycled,1,36.1270711,-79.860718
81,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",1750,Outgoing,Recycled,1,36.1270711,-79.860718
82,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",1200,Outgoing,Recycled,1,36.1270711,-79.860718
83,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",1200,Outgoing,Recycled,1,36.1270711,-79.860718
84,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",1200,Outgoing,Recycled,1,36.1270711,-79.860718
85,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",1200,Outgoing,Recycled,1,36.1270711,-79.860718
86,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",12000,Outgoing,Recycled,1,36.1270711,-79.860718
87,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",12000,Outgoing,Recycled,1,36.1270711,-79.860718
88,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",3720,Outgoing,Recycled,1,36.1270711,-79.860718
89,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",3720,Outgoing,Recycled,1,36.1270711,-79.860718
90,[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",600,Outgoing,Recycled,1,36.1270711,-79.860718
91,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Soil,2019,"Babylon, NY, USA","[40.71071269999999, -73.36731689999999]",4094,Incoming,Not Applicable,1,40.7107127,-73.3673169
92,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Sand,2019,"Babylon, NY, USA","[40.71071269999999, -73.36731689999999]",8300,Incoming,Not Applicable,1,40.7107127,-73.3673169
93,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,"Rock, Stone, and Gravel",2019,"Babylon, NY, USA","[40.71071269999999, -73.36731689999999]",14,Incoming,Not Applicable,1,40.7107127,-73.3673169
94,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Fill,2019,"Babylon, NY, USA","[40.71071269999999, -73.36731689999999]",2124,Incoming,Not Applicable,1,40.7107127,-73.3673169
95,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Residue,2019,"120 Nancy St, West Babylon, NY 11704, USA","[40.7395179, -73.37672529999999]",190,Outgoing,Transferred,1,40.7395179,-73.3767253
96,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Residue,2019,"136 Spagnoli Rd, Melville, NY 11747, USA","[40.7614568, -73.4349464]",190,Outgoing,Transferred,1,40.7614568,-73.4349464
97,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,"Rock, Stone, and Gravel",2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",226,Outgoing,Recycled,1,36.1270711,-79.860718
98,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,"Rock, Stone, and Gravel",2019,"615 Cord Ave, Lindenhurst, NY 11757, USA","[40.6958084, -73.3536987]",226,Outgoing,Recycled,1,40.6958084,-73.3536987
99,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Soil,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA","[36.12707109999999, -79.86071799999999]",6460,Outgoing,Recycled,1,36.1270711,-79.860718
100,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Sand,2019,"685 N Queens Ave, Lindenhurst, NY 11757, USA","[40.7048835, -73.367424]",5383,Outgoing,Recycled,1,40.7048835,-73.367424
101,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Fill,2019,"Republic Airport (FRG), 7150 Republic Airport, Farmingdale, NY 11735, USA","[40.7261266, -73.4167921]",4588,Outgoing,Recycled,1,40.7261266,-73.4167921
102,[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Concrete,2019,"1280 Wellwood Ave, West Babylon, NY 11704, USA","[40.7330564, -73.398133]",6,Outgoing,Recycled,1,40.7330564,-73.398133
103,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Concrete,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",703.05,Incoming,Not Applicable,1,40.8598637,-72.5678012
104,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Concrete,2019,"5632 Turnpike Rd, Bath, NY 14810, USA","[42.3240936, -77.38822619999999]",703.05,Incoming,Not Applicable,1,42.3240936,-77.3882262
105,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Concrete,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",703.05,Incoming,Not Applicable,1,41.083151,-71.9994067
106,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Concrete,2019,"Brookhaven, NY, USA","[40.8273786, -72.995048]",703.05,Incoming,Not Applicable,1,40.8273786,-72.995048
107,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Concrete,2019,"Babylon, NY, USA","[40.71071269999999, -73.36731689999999]",703.05,Incoming,Not Applicable,1,40.7107127,-73.3673169
108,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Soil,2019,"Brookhaven, NY, USA","[40.8273786, -72.995048]",7791.92,Incoming,Not Applicable,1,40.8273786,-72.995048
109,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Soil,2019,"Oyster Bay, NY, USA","[40.7893778, -73.5358541]",7791.92,Incoming,Not Applicable,1,40.7893778,-73.5358541
110,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Soil,2019,"Huntington, NY, USA","[40.8681539, -73.425676]",7791.92,Incoming,Not Applicable,1,40.8681539,-73.425676
111,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Soil,2019,"802 W Shore Rd, Port Washington, NY 11050, USA","[40.8165321, -73.65662379999999]",7791.92,Incoming,Not Applicable,1,40.8165321,-73.6566238
112,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Soil,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",7791.92,Incoming,Not Applicable,1,40.8598637,-72.5678012
113,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Soil,2019,"Suffolk County, NY, USA","[40.9848784, -72.61511689999999]",7791.92,Incoming,Not Applicable,1,40.9848784,-72.6151169
114,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Sand,2019,"Southampton, NY, USA","[40.8598637, -72.56780119999999]",1851.36,Incoming,Not Applicable,1,40.8598637,-72.5678012
115,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Sand,2019,"Riverhead, NY 11901, USA","[40.9170435, -72.66204019999999]",1851.36,Incoming,Not Applicable,1,40.9170435,-72.6620402
116,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Sand,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",1851.36,Incoming,Not Applicable,1,41.083151,-71.9994067
117,[52W14R],Chesterfield Associates,-72.68426609,40.80823391,Transfer Facility,Sand,2019,"401 Main St, Islip, NY 11751, USA","[40.7294056, -73.2166187]",1851.36,Incoming,Not Applicable,1,40.7294056,-73.2166187
